prompt,response
PE1: PO 4101142339 30 GR value is not correct,"Issue/Request: PE1: PO 4101142339 30 GR value is not correct
Root cause: Price changes happended before invoice.
Solution: Connected with user and provided the resolution steps. Now GR and IR values are same.

Closing the ticket as user confirmed, attached closure confirmation
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: The PO 4102457238 do GR, but the invoice still R status and the error display PO cannot found.
Root cause: invoice in block status
Solution: Suggested user to connect with IBS team since incoice is IBS.

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: no tax on printed PO 4102507881,"Issue/Request: PE1: no tax on printed PO 4102507881
Root cause: PO: 4102507881 output type triggered with NEU, hence TAX code value is not showing in PO
Solution: Suggested user to trigger PO with ZNCN output type to get the tax info in PO copy.

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Output]
"
PE1: Not matched between PO approver and PO electronic signatrure,"Issue/Request:PE1: Not matched between PO approver and PO electronic signatrure
Hi PMX team,
2023/12/26 add line 40-60 for PO 4102434376.
select AA level PO approver as Wen Xin?AB level PO approver as Jian
Wang.
after PO approved today, the PO electronic signature is by Shuo Zhang.

It is not matched, pls help to resolve, tks.

Root cause: PO copy was from previos version hence it displayed last approver signature
 
Solution: Suggested user to get the new version released from new approver and user was able to get the PO pdf without electronic signature  by Shuo Zhang.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: PO can not print out with Tax,"Issue/Request: PE1: PO can not print out with Tax-4102515092 cannot print out with Tax.Pls help check.

Root cause: Code changes required to have Tax details printed on PO pdf.
 
Solution: Suggested RFC for the required code changes.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: pls check the po why go through the approval process,
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request:SUMMARY: Approver on approval code A2 is unable to approve POs
4102499699,4102500143
4102502016Approver A2 in Purchasing Org HR00 is Albert Boljkovac (albert.boljkovac@ge.com).
I'm raising this ticket ""on behalf"" of Albert.
Please contact Albert directly if you need to see exactly what system is showing/not showing during attempted approval.
Albert at first didn't receive these three POs for approval in his PMx inbox. 
Then he tried to approve them namnually (ME29N).
In ME29N he can approve it, but the system is not allowing him to save approved PO.

Root cause: WBS element Budget exceeded.issue was on project budget end which was coming to wrong period from GEARS to PMx.
 
Solution: Suggested user to maintain the budget in current period and user was able to release the PO.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Unable to make delivery through delivery portal (t-code: z_delivery_portal) for sales order MHR0645492.
Root Cause: MWST condition was missing for SO line 10 
Resolution: guided user to update condition in SO and then able to add line in existing OBD using delivery cockpit.
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: PO copies are not receiving
Root cause: Business requirement wrong price, quantity. Hence price variances happened in GR.
Solution: code changes required for WAIT statement to get multiple PO's success, Hence suggested user to raise RFC for code changes.

Closing the ticket as user confirmed, attached closure confirmation
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: Open PO report 
Root cause: Business requirement
Solution: Connected and explained user to get the report by ME2N transaction code.

Closing the ticket as user confirmed, attached closure confirmation
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: PO#4102508568 has sent for approval again
Root cause: The price update has been done by your end on 11th of January 2024
Solution: Due to price udpate new version created and set for approval again

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Release strategy]"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: PO 4102372213 IFA .The Supplier has uploaded the invoice twice. He has also uploaded a credit note.
It think something is wrong. It is requested to book ""Goods received"" for a credit note!!
Please delete the second invoice incl. the credit note. Supplies has received once the amount of CHF 17010.- So far all.

Root cause:  Supplier has uploaded the invoice twice.
 
Solution: Credit note was submitted and it is having clearing document and GR /IR balanced, user confirmed on the same.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: PO 4102391741 
The currency was changed from EUR to CHF after the PO was issued, and the difference is probably caused in PMX due to the currency change. For some reason in SES 231788 (ERP SES ID 1001724741) the gross price was 0.95 CHF instead of 1, causing the 24864 quantity to only be valued at 23620,80 CHF.
On Ariba the SES 231788 is properly created:

Root cause: Currency was not maintained properly/uniformely and exchange rate was not fixed.
 
Solution: Suggested user to reverse SES and invoice .Then change the PO currency.user performed action and created new PO with correct details.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Release impossible,"Actual Issue: Release impossible
Hello

release is impossible and I don't know why, can you support ?

Root Cause: NA

Resolution or Suggested steps: We have provided the list of people who can release the second level of release for the given PR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: GR cancel to match the GR and IR value.
Root cause: Business requirement
Solution: Suggested user cancel the service entry sheet: 1001695777 to cancel the amount of CHF 29'849 to match the GR & IR values.

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: PO 4102200860 - Line 30,"Actual Issue: PE1: PO 4102200860 - Line 30
Hello Team,

PO 4102200860 - Line 30, am unable to do GRN for below request, Kindly
check and support.

Regards,
Ashok

Root Cause: Inbound del cannot be done for serviceable material

Resolution or Suggested steps: We have asked the user to post manual GR by removing confirmation control from the po line.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: Unable to create PO
Root cause: User getting waring message of import data.
Solution: Suggested user to proceed since this is warning message only to post PO.

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Goods receipt]
[Category2: Creation]
"
MyTech Business Application Support: PowerMax - Not working (broken),
PE1: PO 4102452101 line 10 & 20,"Actual Issue: 4102452101 - unable to do GRN for PO.
Root Cause: item category in material master was changed
Resolution: Guided user to create inbound delivery and then GR after MMR updates.
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request:I can not book the GR for PO 42012354907

Root cause: Delivery completion indicator set in PO
 
Solution: Suggested user to remove Delivery completion indicator set in PO and attempt GR.GR completed successfully.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: PO copy issue
Root cause: Business requirement
Solution: Suggested user to retrigger the output with ""External send"" to get the PO copy by email

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Output]

"
MyTech Business Application Support: EventVision,"Issue/Request: Hi Team I am trying to create a Field core PO but Event vision sent me an email as Activation Failure Details are : GTM ERP -EG0-902119 (PMx - Auto) EV PR 504613

Root cause: EG0-902119 project was in closed status.
 
Solution: Suggested user to open the project and place PO in EV.PO was successfully placed.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"""Issue/Request: PR values not fetched in PO

Root Cause: Its standard SAP behaviour for internal Vendor, analysis discussed in Screen sharing with user

Solution/Action: Analysis shared, user confirmed to close this ticket.

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: WO is not generated for notification: 30108942
 
Root Cause: System ID was not assigned to WBS
 
Resolution: System ID field was maintained and notification was retriggered.
 
Closure Confirmation:
[12:10 PM] Ukirde, Shubhangi (GE Vernova, consultant)
WO-05878383 - It is generated now
[12:12 PM] Cheng, Jasimin (GE Vernova, consultant)
great, got it!
[12:12 PM] Cheng, Jasimin (GE Vernova, consultant)
thanks for your quick action
[12:12 PM] Cheng, Jasimin (GE Vernova, consultant)
you can close the ticket.
[12:13 PM] Ukirde, Shubhangi (GE Vernova, consultant)
Anytime! 
[12:13 PM] Ukirde, Shubhangi (GE Vernova, consultant)
Thanks for the confirmation."
"PGI2 can not be booked for OBD 80744215 in shipment 201367319,","Actual Issue: PGI2 can not be booked for OBD 80744215 in shipment 201367319
Root Cause: As per the existing process for FOC cross orders (item category ZPCB) will have PGI booking only and also Net value is Zero 
Resolution: guided user about FOC order and deliveries creation
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
ME54N  approval ,"Actual Issue: ME54N  approval 
My question is ME54N  transaction PR 122062113 if anybody can approve this pr in absence of my colleague as she is on holiday. The PR should be released but I do not have any authorization. 

Root Cause: NA

Resolution or Suggested steps: The PR was later approved by other approvers.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
"Several lines do not have visible HUs, only Shipment IDs",
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: I cannot book PGI 1 (goods issue) on OBD 80776520.
Root Cause: process change related to Sales order
Resolution: we are working on same issue with another ticket GEINC14334592 and further updates will be posted on the same.

also we are adding this OBD in that existing ticket GEINC14334592 , hence closing this ticket to avoid duplication.
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
SAP PO approval issue / PO 4102489120,"Issue/Request:SAP PO approval issue / PO 4102489120

Root cause: True cost not matching with Net price.
 
Solution: Suggested user to correct the ZVPR value and System allowed approver to approve the PO.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
MyTech Business Application Support: PowerMax - Not working (broken),"Issue: Issue while project IMR-007396 closing.

Root Cause: Commitment were not cleared on the project.

Resolution: Guided user to clear open commitment.

Closure Confirmation:
[3:55 PM] Jankovics, Peter (GE Vernova)
PO commitment has been gone
[3:56 PM] Jankovics, Peter (GE Vernova)
thank you:)
[3:56 PM] Jankovics, Peter (GE Vernova)
you can close the ticket only this was my problem
[3:56 PM] Ukirde, Shubhangi (GE Vernova, consultant)
Glad to hear that! 
[3:56 PM] Jankovics, Peter (GE Vernova)
thank you for your help! and I wish you a great day
[3:56 PM] Ukirde, Shubhangi (GE Vernova, consultant)
Sure I'll close both GEINC14886544 & GEINC14886597
"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Delivery 80560576is not allowed to post PGI.
Root Cause: NA
Resolution: I have checked OBD 80560576 in PE1 system and PGI 1&2 has been completed 
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: There's a delivery that can't be marked as being shipped and shipped (PGI1 and 2) as PMX says in transaction VL02N that ""Batch HTCT151294P0001 9S81 MH does not exist"". I checked the batch and it is indeed set to ""MJ"". Could you please help me with this issue?

[Category:User training]
[Category1:Outbound delivery]
[Category2:Post goods issue]

Root cause: Batch number used in OBD was incorrect.
 
Solution: Suggested user to cancel the TO and use the correct Batch in OBD and try PGI and it worked.

Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PY1: Issue in PY1-100 reported by 105003670,"· Issue/Request :- Something has happened the NCR. I need a complete data log about this NCR 600180415, all the ""hidden""
data, like every opening / closing, typed character, modified field.
data log needed.
 · Root Cause:- No issue with Fiori level.
 · Solution/Action :-Suggested user to not a issue it's  functionality.
 ""Closing the ticket as confirmed by user""
Please share your feedback on ticket closure using the link https://app.sc.ge.com/surveys/create/569816"
Fiori PPV approval notification does not include PPV related info,"Actual Issue: Fiori PPV approval notification does not include PPV related info
Root Cause:  The details are available in the notification.
Resolution or Suggested steps: Connected with user and checked the case, the details are available as implemented in the GET-40218.

Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816 "
MyTech Business Application Support: SAP PMX Gas Power CORA Functional/Tech/Others,"Actual Issue: An item was mistakenly PGI2 booked in the system and it needs to be revised as also it's cost has to be changed in pmx because it is not accurate. I am unable to revise it. It is for OBD 80733261
Root Cause: incorrect cost booked while billing to customer.
Resolution: Guided user to cancel proceeding documents (Billing, PGI1 &2) and then user is able to update SO
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
"As for delivery 80764806 from SO 675437, the goods issue nr. 2 number is not generating.","Actual Issue: As for delivery 80764806 from SO 675437, the goods issue nr. 2 number is not generating.
Root Cause: Materials are blocked and posting period issue
Resolution: guided user to update materials and then PGI2 posted
 
Closing the ticket as confirmed by user

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: unable approve this order,"Issue/Request: Unable to release PO 4102510470
Root cause: Business requirement
Solution: PO: 4102505163 has approved

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Release strategy]"
SAP PO 4102374186 frozen,"Actual Issue: SAP PO 4102374186 frozen
The PO 4102374186 was frozen, I am not able to edit it it is saying another user (ME) is processing it...seems the sessions are not closed correctly on 12th of Feb.

Root Cause: The PO was locked by user SSO

Resolution or Suggested steps: We have asked basis team to release the lock and it was done.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
Logic required for Net selling price,"Issue: Logic required for Net selling price

RCA/Solution: We have provided the analysis on the Logic required for Net selling price.
As nothing is pending from our end, user confirmed on the closure. We are going ahead and closing the ticket.

Closure feedback Link : https://app.sc.ge.com/surveys/create/569816"
PE1: Version Completion error,
PE1: 4102445338 Not able to do GR for PO # 4102445338,
MyTech Business Application Support: SAP Perceptive Non-Tech/Func/Others,"Issue/Request: Dear Team,
We have a migrated PO GBE0000072 in place due to charlie exit and now the requestor is unable to perform the goods receipts. Can you please help ?
Requestor Meldrum, Kenneth (GE Vernova) <kenneth.meldrum@ge.com>

Root cause: User training on how to post GR.
 
Solution: Guided user over teams call on how to do GR.User was able to post GR successfully
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Not route for approval even price change,"Issue/Request:PE1: Not route for approval even price change-This PO is not route for approval even after version creation with
increase in PO value. Please check.

Root cause: Higher value of PO was released already hence when PO value was decreased it did not reset the release strategy.
 
Solution: Provided RCA to user user confirmed closure.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: 4102512363 - Not able to do GR,"Issue/Request: PE1: 4102512363 - Not able to do GR
Root cause: Profit center locked and now it's unlocked.
Solution: GR has been posted

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: PO # 4102506439 Not able to do GR,"Issue/Request: PE1: PO # 4102506439 Not able to do GR
Root cause: Profit center locked in steam business and it's unlocked now.
Solution: GR has been posted.

Closing the ticket as user confirmed, attached closure confirmation
"
"PE1: While making GRN , Error message showing","Actual Issue: PE1: While making GRN , Error message showing
Error message showing while creating GRN as per attachment

Root Cause: The po version was not completed

Resolution or Suggested steps: We have asked the buyer to complete the version and attempt for GR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Please help in cancelling this PO 4102522705,"Issue/Request: PE1: Please help in cancelling this PO 4102522705

Root cause: User training
 
Solution: User was able to cancel by their end.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PDL Client Uniue Doc_No  - logic analysis as per User Praveen  request ,"Issue:PDL Client Uniue Doc_No  - logic analysis as per User Praveen  request 

Root Cause: Fiscal Year data in the doc No is coming from BSID/BSAD table

Solution: Required information has been provided to the User"
PE1: PO Releasing level 1 & level 2 missing.,"Issue/Request:PE1: PO Releasing level 1 & level 2 missing.

Root cause: PO 4100458770 was old and the purchasing group used in PO was not part of release strategy.
 
Solution: user was able to save the PO by using alternate purchasing group.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
[Moni]  As part of monitoring multiple GE_CORA_DELTA_PO_SEND  jobs got failed in PE1/400 system,"Job failed as User is doing some action on PO 5700001521.  In Next Job run , this PO is unlocked and it is picked by Job. So ,No impact.

Hence closing the ticket."
PE1: Not able to receive PO # 4102489811,"Actual Issue: Not able to receive PO # 4102489811
Not able to receive PO # 4102489811, Profit Centre P4C1 is locked""

Root Cause: The profit center was locked

Resolution or Suggested steps: The profit center was only locked due to GECO exit. Once it was unlocked, user can do the GR.
 
Closing the ticket as no response received from the user.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
OPen PO report for material and plant countries attached,"Issue/Request: Open PO report
Root cause: Business requirement
Solution: Provided the report by Meyyappan.

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: 4102411183,"Actual Issue: PE1: 4102411183
Hi Team, I'm trying to put GRN for PO line 4102411183 - 10, but unable
to do GRN. Kindly support immediately.

Root Cause: The item cat in the material master was not correct

Resolution or Suggested steps: We have asked the user to contact the person who updated the item cat, reverse the changes and redo the GR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Not able to receive PO # 4102322929,"""Issue/Request: GR issue

Root Cause: Profit center locked

Solution/Action: But when in screen sharing we tried GR posted successfully by user

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
PE1: Field_Repair  part extension to the plant -4C11,"Actual Issue: PE1: Field_Repair  part extension to the plant -4C11
Extend the part Field_repair part into plant - 4C11 to support the
automatic settlement using IC2.0 for the supplier SCH- Repair from Intra
company point of view

Root Cause: NA

Resolution or Suggested steps: We have asked the team to connect with the respective LDA.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: PO 4102520815 : Unable to print the PDF of the PO Copy.,"Actual Issue: PE1: PO 4102520815 : Unable to print the PDF of the PO Copy.
Hello Team,

We are trying to print the PDF Copy of the PO 4102520815 and we are
getting an error : Scanned signature does not exist, please assist on
the issue and resolve it asap as we need to send the PO Copy to
supplier.

With regards,
Praveen

Root Cause: The approver signatures were missing

Resolution or Suggested steps: We have asked basis to upload signatures under GERITM44585957. Once the signatures were uploaded, the po copies were available.

Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Pickup Location Issue,"GERITM44747577 created, hence we are closing this ticket"
PE1: Unable to complete GRN,"Issue/Request: PE1: Unable to complete GRN-Hello,
Couldnt able to complete the GRN.Vendor told us to cancel this order but
invoice has been posted in ERP.informed AP team to reverse the invoice
receipt in ERP. But they were unable to reverse the invoice in the ERP
since invoice has been paid already. But this PO is still reflecting in
our open order reports. Please do needful

Root cause: Business requirement is to remove PO from open reports.
 
Solution: Suggested user to completed Delivery completion indicator in the PO.user confirmed to closure.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: t&c button does not appear in Purchase orders,"Issue/Request: PE1: t&c button does not appear in Purchase orders
Root cause: T&C information will be sent in PO copy by standard text: Z_PL_PURCHASE-ORDER_TC_US1 and T&C button option/functionality deactivated from 1st of February 2024.
Solution: Suggested user to check internally since this is global change.

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: inbound delivery needs to be create but getting error,"Issue/Request: PE1: inbound delivery needs to be create but getting error
Root cause: PO: 4102466368 has created with material: E760J02296G01/15. In material master general item category group: ZBC4 has maintained, hence system not allowing to create inbound delivery. This field info should be empty
Solution: Suggested user to remove the ""general item category group"" information and provided the LDA list.

Closing the ticket as user confirmed, attached closure confirmation
"
"PE1: I want access to release General WBS, G04-IN-0144000-1 using","Issue: User unable to release WBS.

Root Cause: User do not have an access to  TCODE - CJ20N

Resolution: WBS released by someone else. User do not have existing live case

Closure Confirmation:
[3:46 PM] Dhalape, Ketan (GE Vernova, consultant)
Hi Nitu
[3:48 PM] Dhalape, Ketan (GE Vernova, consultant)
Kindly confirm on Ticket closer of GEINC14611558?
[3:56 PM] Singh, Nitu (GE Vernova)
Hello Ketan
[3:56 PM] Singh, Nitu (GE Vernova)
You can close it for now"
PE1: Double tax rates appearing. Only SGST+CGST need to consider,"Issue/Request: Double tax rates appearing. Only SGST+CGST need to consider
Root cause: Two condition records has been maintained against control code which mianted in material master
Solution: RFC-3669 created, Closing the ticket since no pending action from our end."
PO GRN AMOUNT SHOWING 0,"Actual Issue: PO GRN AMOUNT SHOWING 0
SS0 503379444
PO#IDN2384524 line 20  IN PURSCHASE ODER  HISTORY  GRN AMOUNT IS 10000 BUT SHOWING VALUE 0 KINDLY RESOLVE THIS ISSUE .
BUT IT ALSO MINUS IN TOTAL VALUE BUT SHOWING 0 I TRY TO REVERSE AND AFTER THAT FUND NOT ADDED AGAIN .

Root Cause: The GR non valuated indicator was set

Resolution or Suggested steps: We have asked the team to check with buyer and get the indicator removed.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue : Migrated Sales order: MPA0418821 taxes are getting determined at the SO level but picking zero tax at invoice level, and MWST tax condition records shows out of scope condition record at invoice level,

RCA/Solution : Replicated the sales order with reference to migrated SO : MPA0418821 in QE1 system, SO >> header data >> billing document - tax need to be maintain as ""1"" and tried to create the invoice populated with 11% tax  and the issue is fixed, with user confirmation on closure of ticket we are going ahead and closing the same.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Not able to receive PO # 4102516923,"Issue/Request: PE1: Not able to receive PO # 4102516923
Root cause: Profit center has locked and now it's unlocked.
Solution: GR has been posted

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: Vendor Set up,Incident has been marked resolved or canceled. Task state is moving to close skipped.
PE1: Not receive PO # 4102513593 not able to receive,"Issue/Request: PO # 4102513593 not able to GR
Root cause: Profit center has locked in steam and now it's unlocked.
Solution: GR has been posted

Closing the ticket as user confirmed, attached closure confirmation
"
MyTech Business Application Support: PowerMax - Not working (broken),"Actual Issue: Hello Team,

Material code 492 is not extended to Sales Area = RL84/99/00.

Could you please extend the material code for billing purpose.

Root Cause: NA

Resolution or Suggested steps: We have provided the Master data team contact and LDA list to the user.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
GR amount is not matching for the PO ,"""Issue/Request: GR amount is not matching 

Root Cause: Price changed after GR posting 

Solution/Action: Analysis shared, user confirmed to close this ticket 

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
PE1: Kindly help me to resolve tax code issue for PO 4102460484,Please assign this ticket to FI team
PE1: Double tax rates showing in PO 4102485883,"Issue/Request: Double tax rates showing in PO 4102485883
Root cause: Two condition records are maintained against control code which maintained in material master.
Solution: RFC-3669 has created, hence closing the ticket since no peing action from our end.

"
PE1: Not Able To GR PO # 4102441368,"Issue/Request: PE1: Not Able To GR PO # 4102441368
Root cause: Profit center has been locked and now it's unlocked.
Solution: GR has been posted.

Closing the ticket as user confirmed, attached closure confirmation
"
PE1: Unable to Post Manual GEN for Line 40,"Actual Issue: Unable to Post Manual GEN for Line 40
Hello,

We unable to post manual GRN for 4102168651 - 40 for 10022681 KROMET SP
please advise. Thanks - Nishanth

Root Cause: The CCK was available

Resolution or Suggested steps: Since it was a service material, inbound was not possible. We have asked user to remove the confirmation control and perform manual GR using MIGO.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
PE1: Kindly help me to resolve tax code issue for PO 4102476112,Incident changed assignment group.
PE1: Unable to create GRN for PO4102125477 00070,"Issue/Request: Unable to create GRN for PO4102125477 00070
Root cause: In material: ZSER_STORAGE_N1 which used in PO: 4102125477-70 ""Gen Item Cat Group"" has been updated from LEIS to ZSER, It should be LEIS
Solution: Suggested user to connect with responsible person to update material master as required. then system will allow to post GR

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Goods receipt]
[Category2: Creation]
"
MyTech Business Application Support: PowerMax - Not working (broken),"Issue/Request: Material extension
Root cause: Business requirement
Solution: Provided LDA team list and closing the ticket since no pending action from L2 end.

[Category: User training]
[Category1: Material master]
[Category2: Extension]"
PE1: GRN ISSUE,"Issue/Request: PE1: GRN ISSUE-While processing for GRN the below issue raised. please support and resolve the issue

Root cause: Network 4363216 is flagged with NOCB status – which will block bookings hence the error.
 
Solution: Suggested user to connect with project team and get the NOCB status checkbox unflagged. Provided the User ID who is responsible for Network 4363216 .Network owner need a cost backup from sourcing team. Sourcing Team unable to provide the cost backup since the PO was created long ago and  buyers are no longer in GE. L2 support do not have any actions pending and its a business action pending. Closing this ticket after more than 6 reminders.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
PE1: Double tax code appearing in PO 4102499436,"Issue/Request: PE1: Double tax code appearing in PO 4102499436
Root cause: Two condition records are maintained against control code which maintained in material master.
Solution: RFC-3669 created, closing the ticket since no pending action from our end."
PE1: ERROR WHILE RAISING GRN,"Issue/Request: PE1: ERROR WHILE RAISING GRN-Hi Team
Can you please check and resolve the below issue.
Error Message
""Not possible to create an inbound deliveryMessage No. VL148

Root cause: User trying inbound delivery which is not intended to this PO CCK.
 
Solution: Suggested user to receive the materials through MIGO. User was able to complete GR.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved.
"
PE1: Retrigger the PO by sending different approver.,"Actual Issue: PE1: Retrigger the PO by sending different approver.
Hi taem,Approver has left the organisation and i need to change the
approver of this PO 4102122838 i am unable to retrigger because GR is
posted.

Root Cause: NA

Resolution or Suggested steps: We have provided the list of alternate users who can actually approve the PO.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
SES response not reached to Ariba,"""Issue/Request: SES not reflected in Ariba

Root Cause: ZARB output condition record not maintained

Solution/Action: Need RITM for this change, RITM# GERITM44304017 raised, hence closing this ticket

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
reject SES,"""Issue/Request: Request raised to reject SES

Root Cause: As requested by business

Solution/Action: SES rejected successfully using FFID

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
Getting error while posting Invoice 5988235 for PO #4102334895,"""Issue/Request: Invoice posting issue

Root Cause: NA, Invoice already posted 

Solution/Action: Invoice already posted , analysis shared 

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
