Number,Opened,Short description,Assignment group,Created Month,Functional Area,IAC affected,OneERP Country / Entities Impacted
INC0269113,05-11-2024 21:11,OneERP wave 5 Hypercare-AE01 - FX valuation error,L2 - OneERP - Business Support,Nov-24,Record to Report,,Canada
INC0269050,05-11-2024 13:53,Wave 5 -Sweden- 3PL data load error,L2 - OneERP - Business Support,Nov-24,Supply Chain,,Sweden
INC0269326,07-11-2024 19:19,payment file out of SAP not possible to import into the bank,L2 - OneERP - Business Support,Nov-24,,,
INC0269291,07-11-2024 15:05,W2_ONE ERP_KR_PO missing in 3PL site.,L2 - OneERP - Business Support,Nov-24,,,
INC0269319,07-11-2024 18:41,"OneERP wave 5 Hypercare-CH06 & CH09- We are unable to post the JE with the GL account-21302000, asking the trading partners. Kindly help",L2 - OneERP - Business Support,Nov-24,,,
INC0269321,07-11-2024 18:49,Unable to load Custom declaration - Norway,L2 - OneERP - Business Support,Nov-24,Record to Report,,Norway
INC0269091,05-11-2024 18:27,SAP: Sales October Impact,L2 - OneERP - Business Support,Nov-24,Order to Cash,,Italy
INC0267262,14-10-2024 17:58,change approver request type and in comments mention temporary and validity date and i will setup in SAP,L2 - OneERP - Business Support,Oct-24,Order to Cash,,France
INC0267882,21-10-2024 18:44,Diretc Debit file doesn't take customer MEZEGEL repartition,L2 - OneERP - Business Support,Oct-24,Order to Cash,,France
INC0267966,22-10-2024 18:16,Wave 5 - MDC - MNE - Need to change the PO Currency,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,UAE
INC0268130,24-10-2024 12:39,3PL data load error - Netherlands,L2 - OneERP - Business Support,Oct-24,Supply Chain,,Netherlands
INC0268548,30-10-2024 13:42,3pl Data load error -Sweden,L2 - OneERP - Business Support,Oct-24,Supply Chain,,Sweden
INC0266035,03-10-2024 17:48,"OneERP SAP s/4 PROD - allocate incident to David Brookes. Project Fusion requires address changes in OneERP SAP s/4 Production client for the following Mundipharma Entities - MRL, MINT, MITO, MITS",L2 - OneERP - Business Support,Oct-24,Supply Chain,,Multiple
INC0268350,28-10-2024 14:04,Wave 5 -Ireland - 3PL data load error ,L2 - OneERP - Business Support,Oct-24,Supply Chain,,Ireland
INC0268392,28-10-2024 18:48,Incorrect mapping between ORACLE and SAP for FINLAND Materials ORACLE 08938 and 08937,L2 - OneERP - Business Support,Oct-24,Supply Chain,,Finland
INC0266731,09-10-2024 21:53,SAP Team - Order not updated from Anaplan,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,France
INC0265928,02-10-2024 22:12,OneERP SAP MEA - Manual PO creation of Reference Standard,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Saudi Arabia
INC0267581,17-10-2024 13:53,Supplier bank account error.,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Korea
INC0265770,01-10-2024 20:44,Give Demo to JiYea  on SAP Good Receipt process for Korea Local orders (ZINL),L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Korea
INC0268486,29-10-2024 21:50,Wave 5 - BE01 - SAP ERP Daily Stock Reconciliation Report Query,L2 - OneERP - Business Support,Oct-24,Supply Chain,,Belgium
INC0267980,22-10-2024 19:22,Wave 6 - Corporate Entities - i dont have 'my  inbox' in SAP so cant approve anything,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Multiple
INC0268282,25-10-2024 19:30,Wave 2 - Canada - Vendor type in master data in SAP incorrect,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Canada
INC0267510,16-10-2024 18:56,SAP: Posting of Credit Note IAC,L2 - OneERP - Business Support,Oct-24,Order to Cash,,Italy
INC0267988,22-10-2024 20:45,"INC0254142-> unfortunately not fixed, please be so kind and support with it",L2 - OneERP - Business Support,Oct-24,Supply Chain,,Austria
INC0266670,09-10-2024 16:03,Unable to upload Accrual journal,L2 - OneERP - Business Support,Oct-24,Record to Report,,Norway
INC0268193,24-10-2024 22:19,CANADA - SAP - Please update the 2025 Statutory Holidays calendar in SAP,L2 - OneERP - Business Support,Oct-24,Order to Cash,,Canada
INC0266034,03-10-2024 17:45,WAVE 5 One ERP - CH06 & CH09 -Mundipharma Pharmaceuticals Ltd (10011065) need to be update correct payment terms,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,UAE
INC0266186,04-10-2024 19:59,Black book report was not migrated to SAP,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Brazil
INC0266887,11-10-2024 10:57,Payment error due to no valid payment method found,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Korea
INC0268005,22-10-2024 22:40,Wave 5 - MEA - Unable to goods receipt PO 4500013772,L2 - OneERP - Business Support,Oct-24,Supply Chain,,UAE
INC0268199,24-10-2024 22:30,SAP/ POs missed ES 180668310 - Roosendaal NL to Toledo ES  - Delivering 22/10 at 15:00,L2 - OneERP - Business Support,Oct-24,Supply Chain,,Spain
INC0266677,09-10-2024 16:25,Change tax code in optional SAP,L2 - OneERP - Business Support,Oct-24,Record to Report,,Netherlands
INC0265933,02-10-2024 22:51,SAP  Shipment order 4500012134,L2 - OneERP - Business Support,Oct-24,Order to Cash,,Spain
INC0267693,18-10-2024 17:49,Asset creation error,L2 - OneERP - Business Support,Oct-24,Technical,,UAE
INC0266618,09-10-2024 03:13,Journal Posting Error in SAP-NO01-Norway,L2 - OneERP - Business Support,Oct-24,Record to Report,,Norway
INC0265899,02-10-2024 19:23,orders blocked,L2 - OneERP - Business Support,Oct-24,Order to Cash,,France
INC0266557,08-10-2024 18:13,SAP CBAR transactions posting to storage location 1010 instead of 1013.,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,South Africa
INC0266562,08-10-2024 18:34,SAP SE01 Company code - We unable to post reversal entry,L2 - OneERP - Business Support,Oct-24,Record to Report,,Sweden
INC0268673,31-10-2024 21:11,W2 - Canada - Incorrect PO Price on PO's  (4500016361 & 4500012385),L2 - OneERP - Business Support,Oct-24,Supply Chain,,Canada
INC0267696,18-10-2024 18:11,Belgium Goods Receipt Enquiry,L2 - OneERP - Business Support,Oct-24,Procure to Pay,,South Africa
INC0268173,24-10-2024 18:27,"Payment method Chage - Direct debit vendor -Nederland, Belgium",L2 - OneERP - Business Support,Oct-24,Procure to Pay,,Multiple
INC0263028,03-09-2024 21:39,Reopen incident INC0259821,L2 - OneERP - Business Support,Sep-24,"Procure to Pay, Record to Report",,Italy
INC0263344,06-09-2024 06:00,Error message when using G/L account 25030000,L2 - OneERP - Business Support,Sep-24,Record to Report,,Brazil
INC0263993,12-09-2024 18:18,OneERP - Hypercare (Issue in daily sales order upload for Belgium),L2 - OneERP - Business Support,Sep-24,Order to Cash,,Belgium
INC0263989,12-09-2024 18:12,"SAP, Supply chain and finance, MEA region, Egypt: good receipted to reverse due to PO at wrong price",L2 - OneERP - Business Support,Sep-24,Procure to Pay,,Saudi Arabia
INC0264532,19-09-2024 11:09,BS balance doesn't match to GL balance in SAP JP01,L2 - OneERP - Business Support,Sep-24,Record to Report,,Japan
INC0264587,19-09-2024 19:04,Wave 5 - ZA01 - Stock Material Valuation Price Misalignment,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,South Africa
INC0265592,30-09-2024 17:50,Wave 5 - AE01 - Please check to see why PO's 4500013715 & 4500013717 (MDC SO's 2084822/ 2085954) didnt close before transition period.,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,UAE
INC0263281,05-09-2024 21:13,SHIP TO NUMBER UPDATE,L2 - OneERP - Business Support,Sep-24,Order to Cash,,South Africa
INC0263056,04-09-2024 01:52,OneERP Hyper care - Norway,L2 - OneERP - Business Support,Sep-24,Order to Cash,,Norway
INC0263037,03-09-2024 22:21,INVOICE PROBLEM,L2 - OneERP - Business Support,Sep-24,Order to Cash,,France
INC0263467,07-09-2024 00:20,Error when using G/L account 25030000 for bank clearing,L2 - OneERP - Business Support,Sep-24,Order to Cash,,Brazil
INC0264635,19-09-2024 23:28,Wave 5 - Denmark - While parking the journal i am getting the error message for profitability segment,L2 - OneERP - Business Support,Sep-24,Record to Report,,Denmark
INC0263407,06-09-2024 18:06,W1 - France - Sales Order - Cust Reference 24007252,L2 - OneERP - Business Support,Sep-24,Order to Cash,,France
INC0263102,04-09-2024 15:51,W1 - France - Update SOLD TO in iDoc,L2 - OneERP - Business Support,Sep-24,Order to Cash,,France
INC0263770,10-09-2024 20:14,Wave 3 - Germany - Please delete PO 4500011126,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,Germany
INC0263896,11-09-2024 19:25,ONE ERP  W4 ITALY - ENABLE TO THE RUNNING OF PAYMENTS FOR THE EMPLOYEES CATEGORY,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,Italy
INC0263377,06-09-2024 15:39,sold to,L2 - OneERP - Business Support,Sep-24,Supply Chain,,France
INC0263345,06-09-2024 06:04,Error message when using G/L account 21530002,L2 - OneERP - Business Support,Sep-24,Record to Report,,Brazil
INC0262973,03-09-2024 18:07,Netherland P06 reopen,L2 - OneERP - Business Support,Sep-24,Record to Report,,Netherlands
INC0263712,10-09-2024 14:41,One ERP - W3 - PZN 9101501 code switch from material 2000001000 to 20001000044 in material substitution table,L2 - OneERP - Business Support,Sep-24,Supply Chain,,Germany
INC0264580,19-09-2024 18:36,"ES SAP -  Access for the app ""eDocument Cockpit - ES01 - Display Access""",L2 - OneERP - Business Support,Sep-24,Order to Cash,,Spain
INC0263959,12-09-2024 15:13,Timesheet login issue,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,Service Entities
INC0264491,18-09-2024 22:03,"W5 - SE01, DK01 & NO01 - Customer information from SAP",L2 - OneERP - Business Support,Sep-24,Order to Cash,,Multiple
INC0264002,12-09-2024 19:12,Cost Center Master data in SAP wrong,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,South Africa
INC0265235,26-09-2024 03:35,Wave 2 - Canada - Vendor # ICCA0100- Bank info is incorrect,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,Canada
INC0264009,12-09-2024 19:42,One ERP - W3 - please move PZN code (9276123) from material 2000000921 to 2000001362 in material substitution table,L2 - OneERP - Business Support,Sep-24,Supply Chain,,Germany
INC0263129,04-09-2024 17:45,One ERP - ESKER Cost center- Routing,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,UAE
INC0265424,27-09-2024 21:46,W5 - Norway - Billing Document not released to accounting,L2 - OneERP - Business Support,Sep-24,Record to Report,,Norway
INC0264763,20-09-2024 22:42,OneERP - Finland (needs to change bank details in SAP),L2 - OneERP - Business Support,Sep-24,Procure to Pay,,Finland
INC0265071,24-09-2024 19:42,W1 - France - SAP MDG - Need to know proper Grouping for Customer Creation in MDG,L2 - OneERP - Business Support,Sep-24,Order to Cash,,France
INC0263098,04-09-2024 15:22,W1 - France - Update SOLD TO in iDoc,L2 - OneERP - Business Support,Sep-24,Order to Cash,,France
INC0262852,02-09-2024 18:20,Spain SAP -  Error in the output of new clients to send invoices by SERES,L2 - OneERP - Business Support,Sep-24,Order to Cash,,Spain
INC0265236,26-09-2024 04:03,Canada Wave 2 - Error when entering pricing for new product,L2 - OneERP - Business Support,Sep-24,Supply Chain,,Canada
INC0263831,11-09-2024 09:31,Urgent_Korea Payment to Employee error _due to payment method not found,L2 - OneERP - Business Support,Sep-24,Procure to Pay,,Korea
INC0253917,04-06-2024 09:55,SAP Foundation Extract - late DB update,L2 - OneERP - EDW / BI,Jun-24,Record to Report,,Korea
INC0266058,03-10-2024 20:03,Wave 5 - MEA -  Differences in MEA(104033) with Foundation that doenst match with SAP,L2 - OneERP - EDW / BI,Oct-24,Record to Report,,UAE
INC0262634,30-08-2024 14:49,ZA SAP Export Customer loading to be completed. Swaziland not defined as a country in SAP.,L2 - OneERP - MDG,Aug-24,Order to Cash,,South Africa
INC0261984,22-08-2024 12:00,MDG change request draft was locked so that I need the help,L2 - OneERP - MDG,Aug-24,Procure to Pay,,Japan
INC0257747,11-07-2024 22:13,CR 7970 is not completed,L2 - OneERP - MDG,Jul-24,Order to Cash,,UAE
INC0259485,29-07-2024 20:11,With Holding Tax - Error,L2 - OneERP - MDG,Jul-24,Cross Functional,,Italy
INC0256582,01-07-2024 20:51,Creation a new Customer. Error : Field Tax Jurisdiction is missing. But I cannot enter any information. Field is grey,L2 - OneERP - MDG,Jul-24,Record to Report,,Germany
INC0254797,12-06-2024 19:53,Remove CRs 6705 & 6742 as the user raised them incorrectly as DIrect supplier.,L2 - OneERP - MDG,Jun-24,Procure to Pay,,Austria
INC0256169,26-06-2024 18:56,We have detected a problem in the way to created a vendo with the new process.,L2 - OneERP - MDG,Jun-24,Procure to Pay,,Spain
INC0254889,13-06-2024 16:32,ONE ERP: Customer to be update,L2 - OneERP - MDG,Jun-24,Procure to Pay,,Service Entities
INC0255573,20-06-2024 17:10,TPRM ID field not reflected in MDG,L2 - OneERP - MDG,Jun-24,Order to Cash,,Canada
INC0254469,10-06-2024 11:33,W2 - KR - MDG_change TPRM,L2 - OneERP - MDG,Jun-24,Procure to Pay,,Korea
INC0254666,11-06-2024 22:01,ERP - I NEED TO CHANGE BANK DETAILS FOR A SUPPLIER,L2 - OneERP - MDG,Jun-24,Procure to Pay,,Italy
INC0256312,27-06-2024 20:58,APPROVAL OF CUSTOMER ADDRESS CHANGE REQUEST,L2 - OneERP - MDG,Jun-24,Order to Cash,,Italy
INC0254281,06-06-2024 21:04,blocking error creating customer master not found,L2 - OneERP - MDG,Jun-24,Procure to Pay,,Italy
INC0255968,25-06-2024 12:52,CR golden path missing,L2 - OneERP - MDG,Jun-24,Order to Cash,,Korea
INC0255575,20-06-2024 17:13,Please delete below MDG CRs for vendors.,L2 - OneERP - MDG,Jun-24,Procure to Pay,,Service Entities
INC0253144,23-05-2024 21:49,Workflow for CR1979 is stuck as the system didnt send the WF to the final approver.,L2 - OneERP - MDG,May-24,Procure to Pay,,Canada
INC0251680,08-05-2024 23:38,ONE ERP_Creation of Ship to,L2 - OneERP - MDG,May-24,Order to Cash,,Italy
INC0253711,31-05-2024 19:12,Delete MDG CRs for Indirect vendors,L2 - OneERP - MDG,May-24,Procure to Pay,,Canada
INC0253141,23-05-2024 21:42,TPRM field no appearing in MDG when Country/Region USA is selected.,L2 - OneERP - MDG,May-24,Procure to Pay,,Service Entities
INC0252338,15-05-2024 18:55,CR7365 hasnt triggered final approver WF,L2 - OneERP - MDG,May-24,Procure to Pay,,Germany
INC0252209,14-05-2024 18:16,Please remove CR2021 from MDG.,L2 - OneERP - MDG,May-24,Procure to Pay,,Australia
INC0267421,15-10-2024 21:37,Delete Workflow - MDG update - Customer 10000736,L2 - OneERP - MDG,Oct-24,Order to Cash,,Netherlands
INC0265778,01-10-2024 21:46,Account block,L2 - OneERP - MDG,Oct-24,Order to Cash,,France
INC0267713,18-10-2024 20:55,[EXTERNAL]Fw: FIN0009123 - Create/Amend Vendor Request - New - SAP - Lisa Brown,L2 - OneERP - MDG,Oct-24,Procure to Pay,,Canada
INC0267391,15-10-2024 17:53,Cancel Change Request 9483,L2 - OneERP - MDG,Oct-24,Order to Cash,,Netherlands
INC0267953,22-10-2024 17:01,SAP MDG ZA Export Customer Workflow Issue,L2 - OneERP - MDG,Oct-24,Order to Cash,,South Africa
INC0265003,24-09-2024 08:50,no errors but stuck and nothing Workflow Log for Change Request 8997,L2 - OneERP - MDG,Sep-24,Order to Cash,,Korea
INC0263230,05-09-2024 17:00,Workflow Log in a Change Request is empty,L2 - OneERP - MDG,Sep-24,Procure to Pay,,Netherlands
INC0264438,18-09-2024 13:39,Request to delete MDG Customer Change Request 8872,L2 - OneERP - MDG,Sep-24,Order to Cash,,South Africa
INC0263036,03-09-2024 21:54,SAP MDG ZA Export Customer Workflow Issue,L2 - OneERP - MDG,Sep-24,Order to Cash,,South Africa
INC0265100,25-09-2024 00:59,Remove CRs that are no longer required,L2 - OneERP - MDG,Sep-24,"Order to Cash, Procure to Pay",,Multiple
INC0265624,30-09-2024 22:23,Wave 4 - Itally - Association ship to party error,L2 - OneERP - MDG,Sep-24,Order to Cash,,Italy
INC0263468,07-09-2024 00:21,Wave 5 - Brazil - No option to select the correct Tax Jurisdiction code on vendor creation in MDG as it is in SAP GUI.,L2 - OneERP - MDG,Sep-24,Order to Cash,,Brazil
INC0262338,26-08-2024 20:07,Error when running a payment with withholding taxes,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Procure to Pay,,Brazil
INC0260802,09-08-2024 19:12,SAP - pagamenti - richiesta FILE XML per pagamenti tipologia (giroconti/girofondi) fornitori intercompany in valuta euro.,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Italy
INC0260234,05-08-2024 21:33,While posting the journal getting the error message,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,,,
INC0261762,19-08-2024 19:18,OneERP wave 5 Hypercare - CH06-Kindly add the GL account 51600000  & 44003600 to raise the credit note.,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Order to Cash,,Saudi Arabia
INC0259993,02-08-2024 18:16,OneERP - Hypercare - Sweden invoice cancelling (document no 90141301),L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Supply Chain,,Sweden
INC0260584,08-08-2024 01:57,I am facing issue on Wave 5 migration- When I am trying to Post P6 COGS adjustment reclass entry in P7 for the entity Denmark,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Denmark
INC0261498,15-08-2024 22:22,W5 - ONEErp - Customers missing payment method,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Order to Cash,,Brazil
INC0260662,08-08-2024 18:29,Unable to post the journal in SAP due to the error attached- NO01 Norway,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Norway
INC0260761,09-08-2024 15:59,"Need help to post adjustment entry for GL 13602000 - Sweden, Belgium, NL and Finland",L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Denmark
INC0260020,02-08-2024 21:42,Wave 5- Sweden (SE01)- Tamro AB -61686580,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Procure to Pay,,Sweden
INC0261198,13-08-2024 04:02,W5 - Brazil - Please eliminate spece in the field Number address number of a Customer and/or the Supplier.,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Brazil
INC0261798,20-08-2024 04:48,FFID Access for Wave 5 Support,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,UAE
INC0260010,02-08-2024 20:57,OneERP wave 5 Hypercare CH09 GL Tax code Error,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Tax,,UAE
INC0262325,26-08-2024 16:45,order MSP 826988 is blocked in SAP,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Supply Chain,,Service Entities
INC0261895,21-08-2024 03:17,W5 - Brazil - Change employee's payment method,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Order to Cash,,Brazil
INC0261870,20-08-2024 20:35,Incorrect commissions value on AR invoice,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Order to Cash,,South Africa
INC0259864,01-08-2024 20:41,ZROB returnings need to be revert/cancelled,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Order to Cash,,Austria
INC0259981,02-08-2024 17:24,OneERP - Hypercare - Debit Memo cancellation for Belgium,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Supply Chain,,Sweden
INC0262473,28-08-2024 16:10,"OneERP wave 5 Hypercare - CH06-when we are trying to check in the GL report, the customer names are not showing on the GL for the raised credit note.  Can you please check and advice",L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Order to Cash,,Saudi Arabia
INC0262455,28-08-2024 11:59,SAP – QA SO 170432 (CI 90142850) billing error,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Supply Chain,,Service Entities
INC0261776,19-08-2024 21:09,I can't run a payment by boleto,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Procure to Pay,,Brazil
INC0262153,23-08-2024 19:41,While posting the journal i am getting the error message,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Netherlands
INC0262563,29-08-2024 16:13,"OneERP wave 5 Hypercare - CH06-Kindly add the GL account 44002100 in SAP to raise the AR credit note, to maintain account in SAP for printing invoices.",L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Order to Cash,,Saudi Arabia
INC0261502,15-08-2024 23:05,AU01 - No remittance generated,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Procure to Pay,,Australia
INC0259968,02-08-2024 15:25,OneERP w5 Hypercare - SE- need to activate loss exch.rate.difference GL,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Sweden
INC0262139,23-08-2024 18:12,Journal Posting Error - tax code (Finland - 101005),L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Finland
INC0261739,19-08-2024 16:14,OneERP Hypercare - Finland (Required VAT GL account number),L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,Record to Report,,Finland
INC0260476,07-08-2024 14:50,Prior Year balances for Ireland and Netherlands not uploaded,L2 - OneERP - S/4 HANA - CFS BAU,Aug-24,,,
INC0259596,30-07-2024 18:56,Cannot able to post the journals 12300000.,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Finland
INC0258573,19-07-2024 20:15,One ERP Wave 5 Hyper Care MEA - Please delete invoice no 90138017 as it has the wrong ship to/sold to,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Supply Chain,,Service Entities
INC0258749,22-07-2024 16:56,Daily reconciliation report. Manually adjustment,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Italy
INC0258427,18-07-2024 18:32,Urgent - Batch expiry date is incorrect for KR matches in SAP - Please assign to member of SAP team such as Tim Harris,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Supply Chain,,Korea
INC0259273,26-07-2024 23:31,OneERP wave 5 Hypercare - BR,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Brazil
INC0259603,30-07-2024 20:03,OneERP wave 5 Hypercare - DK - Error while posting journals ,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Denmark
INC0258234,17-07-2024 15:53,Unable to run open items report for Germany in Create Correspondence,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Order to Cash,,Germany
INC0259524,30-07-2024 01:46,OneERP wave 5 Hypercare – Denmark – While posting the journal we are getting the error messages attached the screenshot for easy reference.,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Denmark
INC0258099,16-07-2024 15:23,JP SAP - Support to process Returns and Write Off,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Order to Cash,,Japan
INC0257563,10-07-2024 18:23,Exchange rates for 09.07.2024 missing in SAP,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Australia
INC0259618,30-07-2024 22:15,Accelerated return credit memo reversal  - Billing Document 90138980,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Supply Chain,,South Africa
INC0259207,26-07-2024 15:18,"OneERP wave 5 Hypercare - BR -  Unable to post to General Ledger accounts due to the accounts requiring a tax code, and one account requires currency",L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Brazil
INC0257737,11-07-2024 21:04,One ERP - W5 - please fill in Vendor master data for 10035598,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Canada
INC0258001,15-07-2024 17:10,SAP - Invoice does not reflect batch details,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Supply Chain,,Service Entities
INC0259233,26-07-2024 20:09,Esker Approver change,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Japan
INC0257705,11-07-2024 17:48,CSP Failed IDocs status of 26.06.2024,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Order to Cash,,France
INC0256742,02-07-2024 20:55,Need access to the SAles report - VA05 in PS4.400 System,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Technical,,Multiple
INC0259217,26-07-2024 16:55,OneERP Wave 5 Hypercare QA - please cancel Invoice 90139520,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Order to Cash,,UAE
INC0259633,30-07-2024 23:08,SAP BAU Support on raising PO in SAP,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Supply Chain,,Austria
INC0259054,25-07-2024 00:39,LANGUAGE FIELD - VENDORS MASS UPLOAD,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Multiple
INC0258033,15-07-2024 21:45,W5 Brazil - Mass Upload for Customer Credit Limits,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Order to Cash,,Brazil
INC0258187,16-07-2024 23:22,Wave 5 A/c 61320000 requires a revenue-based account assignment relevant to cost acctng,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Brazil
INC0259705,31-07-2024 17:10,Sort Code - Error,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Japan
INC0259503,29-07-2024 22:04,Required GL extend for entity Norway - MO01 GL- 13603000 Inventory Provision Allowance - Local Gaap Bal Sh,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Norway
INC0258244,17-07-2024 16:30,OneERP wave 5 Hypercare - BR - Defect 2070 to be reviewed as the ISENTO word is missing in the vendor master data.,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Brazil
INC0258976,24-07-2024 16:22,Payment runs on 23.07.2024  failures at Remittance step due to missing Language in master data.,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Germany
INC0259053,25-07-2024 00:05,Email addresses mass upload for DACH entities,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Austria
INC0258150,16-07-2024 19:48,SAP - FR01 - 10007930 - ERNST & YOUNG LLP - WHT error,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,France
INC0257657,11-07-2024 12:55,Can not apply to MDG due to Bank account,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Japan
INC0258119,16-07-2024 17:05,IDocs need to retrigger for SAP PO output (Z3PL),L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,France
INC0257474,09-07-2024 22:43,Credit notes not pulling to DD run,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Order to Cash,,Germany
INC0258180,16-07-2024 22:46,OneERP w5 Hypercare - ZA - SAP duplicate sales orders uploaded,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Supply Chain,,South Africa
INC0258004,15-07-2024 17:38,Need access to ''Manage Automatic payments'',L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Procure to Pay,,Netherlands
INC0259177,26-07-2024 01:02,OneERP wave 5 Hypercare - BR - GL Account 25030000 has postings from Data migration that require journaling to another account,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Brazil
INC0259586,30-07-2024 18:13,OneERP wave 5 Hypercare – NL – Error when posting journal ,L2 - OneERP - S/4 HANA - CFS BAU,Jul-24,Record to Report,,Netherlands
INC0256304,27-06-2024 20:24,SPAIN SAP -We have created new customer which need the maintenance of conditions records,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Order to Cash,,Spain
INC0255029,14-06-2024 20:46,"SPAIN SAP - We have this new customer: 110034815, CENTRO PENITENCIARIO DE MALAGA that needs to update the conditions records",L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Order to Cash,,Spain
INC0255999,25-06-2024 16:39,Unable to create PO in PT,L2 - OneERP - S/4 HANA - CFS BAU,Jun-24,Procure to Pay,,Portugal
